journal_id,entry_id,date,TEI_name,emma_name,relation,entry,XML,entry_sentiment
17,1,1910-10-25,None,None,None,"October 25, 1910 SS. Kronprinz Wilhelm. Sailed this a.m. from New York at ten o'clock for Cherbourg and Paris. It seems an absurd route to take to Cairo – but the service of the Mediterranean steamers is so disorganized because of the cholera in so many infected ports, and the necessity of quarantine, that we cancelled our engagements for Naples. We will take the Schleswig at Marseilles, instead of Naples.","<div type=""entry"" xml:id=""EBA-1910-10-25""><dateline><date when=""1910-10-25"">October 25, 1910</date><name ref=""#SS_Kronprinz_Wilhelm"" type=""boat"">SS. Kronprinz Wilhelm</name>. </dateline><p>Sailed this a.m. from <placeName ref=""#New_York"">New York</placeName> at teno'clock for <placeName ref=""#Cherbourg"">Cherbourg</placeName> and <placeName ref=""#Paris"">Paris</placeName>. It seems an absurd route to take to<placeName ref=""#Cairo"">Cairo</placeName> – but the service of theMediterranean steamers is so disorganized because of the cholera in so manyinfected ports, and the necessity of quarantine, that we cancelled ourengagements for <placeName ref=""#Naples"">Naples</placeName>. We will take the<name ref=""#SS_Schleswig"" type=""boat"">Schleswig</name> at <placeName ref=""#Marseilles"">Marseilles</placeName>, instead of <placeName ref=""#Naples"">Naples</placeName>.</p></div>",-5.0
17,2,1910-10-30,None,None,None,"Sunday, Oct. 30. We have had an uneventful stupid voyage, and are due at Cherbourg tomorrow. We have had rain, cold winds, and rough seas. Very pleasant rooms.","<div type=""entry"" xml:id=""EBA-1910-10-30""><dateline><date when=""1910-10-30"">Sunday, Oct. 30.</date></dateline><p>We have had an uneventful stupid voyage, and are due at <placeName ref=""#Cherbourg"">Cherbourg</placeName> tomorrow. We have had rain, coldwinds, and rough seas. Very pleasant rooms.</p></div>",-1.0
17,3,1910-10-31,#Troyon_Constant,Troyon,,"Paris – Oct. 31. Westminster Hotel. We made Plymouth at 7 o'clock this morning – I got up and looked out at the interesting coast – reached Cherbourg at 1 p.m. and were off at 3. We felt some little trepidation at committing ourselves to a French railway – there has been such a history of accidents in France! But we knew that this line had been thoroughly repaired – as was shown by the piles of the old sleepers all along the road – in the most astounding state of decay – utter rottenness – they gave damning evidence of neglect. I had never seen the Brittany country before. How charming those wide reaching fields were, in the late afternoon light – so softly green – and the characteristic, mostly pollarded trees in their tints of bronze and olive green and russet pink, made a picture, or rather a succession of them that looked as if they might have been painted by Troyon or Corot. It was a blissful afternoon – and we so enjoyed it. Arrived in Paris at 10 – and found Mr. Rathbone waiting for us. They are at the Bedford.","<div type=""entry"" xml:id=""EBA-1910-10-31""><dateline><placeName ref=""#Paris"">Paris</placeName> – <date when=""1910-10-31"">Oct. 31.</date><name ref=""#Hotel_Westminster"" type=""hotel"">Westminster Hotel</name>.</dateline><p>We made <placeName ref=""#Plymouth"">Plymouth</placeName> at 7 o'clock this morning– I got up and looked out at the interesting coast – reached<placeName ref=""#Cherbourg"">Cherbourg</placeName> at 1 p.m. and were off at3. We felt some little trepidation at committing ourselves to a French railway– there has been such a history of accidents in <placeName ref=""#France"">France</placeName>! But we knew that this line had been thoroughly repaired– as was shown by the piles of the old sleepers all along the road –in the most astounding state of decay – utter rottenness – they gavedamning evidence of neglect. I had never seen the <placeName ref=""#Brittany"">Brittany</placeName> country before. How charming those wide reachingfields were, in the late afternoon light – so softly green – and thecharacteristic, mostly <pb n=""73""/>pollarded trees in their tints of bronze andolive green and russet pink, made a picture, or rather a succession of them thatlooked as if they might have been painted by <persName ref=""#Troyon_Constant"">Troyon</persName> or <persName ref=""#Corot_Jean_Baptiste_Camille"">Corot</persName>. It was a blissful afternoon – and we so enjoyed it.Arrived in <placeName ref=""#Paris"">Paris</placeName> at 10 – and found<persName ref=""#Rathbone_William_Gair"">Mr. Rathbone</persName> waiting for us. Theyare at the <name ref=""#Hotel_Bedford"" type=""hotel"">Bedford</name>.</p></div>",12.0
17,3,1910-10-31,#Corot_Jean_Baptiste_Camille,Corot,,"Paris – Oct. 31. Westminster Hotel. We made Plymouth at 7 o'clock this morning – I got up and looked out at the interesting coast – reached Cherbourg at 1 p.m. and were off at 3. We felt some little trepidation at committing ourselves to a French railway – there has been such a history of accidents in France! But we knew that this line had been thoroughly repaired – as was shown by the piles of the old sleepers all along the road – in the most astounding state of decay – utter rottenness – they gave damning evidence of neglect. I had never seen the Brittany country before. How charming those wide reaching fields were, in the late afternoon light – so softly green – and the characteristic, mostly pollarded trees in their tints of bronze and olive green and russet pink, made a picture, or rather a succession of them that looked as if they might have been painted by Troyon or Corot. It was a blissful afternoon – and we so enjoyed it. Arrived in Paris at 10 – and found Mr. Rathbone waiting for us. They are at the Bedford.","<div type=""entry"" xml:id=""EBA-1910-10-31""><dateline><placeName ref=""#Paris"">Paris</placeName> – <date when=""1910-10-31"">Oct. 31.</date><name ref=""#Hotel_Westminster"" type=""hotel"">Westminster Hotel</name>.</dateline><p>We made <placeName ref=""#Plymouth"">Plymouth</placeName> at 7 o'clock this morning– I got up and looked out at the interesting coast – reached<placeName ref=""#Cherbourg"">Cherbourg</placeName> at 1 p.m. and were off at3. We felt some little trepidation at committing ourselves to a French railway– there has been such a history of accidents in <placeName ref=""#France"">France</placeName>! But we knew that this line had been thoroughly repaired– as was shown by the piles of the old sleepers all along the road –in the most astounding state of decay – utter rottenness – they gavedamning evidence of neglect. I had never seen the <placeName ref=""#Brittany"">Brittany</placeName> country before. How charming those wide reachingfields were, in the late afternoon light – so softly green – and thecharacteristic, mostly <pb n=""73""/>pollarded trees in their tints of bronze andolive green and russet pink, made a picture, or rather a succession of them thatlooked as if they might have been painted by <persName ref=""#Troyon_Constant"">Troyon</persName> or <persName ref=""#Corot_Jean_Baptiste_Camille"">Corot</persName>. It was a blissful afternoon – and we so enjoyed it.Arrived in <placeName ref=""#Paris"">Paris</placeName> at 10 – and found<persName ref=""#Rathbone_William_Gair"">Mr. Rathbone</persName> waiting for us. Theyare at the <name ref=""#Hotel_Bedford"" type=""hotel"">Bedford</name>.</p></div>",12.0
17,3,1910-10-31,#Rathbone_William_Gair,Mr. Rathbone,,"Paris – Oct. 31. Westminster Hotel. We made Plymouth at 7 o'clock this morning – I got up and looked out at the interesting coast – reached Cherbourg at 1 p.m. and were off at 3. We felt some little trepidation at committing ourselves to a French railway – there has been such a history of accidents in France! But we knew that this line had been thoroughly repaired – as was shown by the piles of the old sleepers all along the road – in the most astounding state of decay – utter rottenness – they gave damning evidence of neglect. I had never seen the Brittany country before. How charming those wide reaching fields were, in the late afternoon light – so softly green – and the characteristic, mostly pollarded trees in their tints of bronze and olive green and russet pink, made a picture, or rather a succession of them that looked as if they might have been painted by Troyon or Corot. It was a blissful afternoon – and we so enjoyed it. Arrived in Paris at 10 – and found Mr. Rathbone waiting for us. They are at the Bedford.","<div type=""entry"" xml:id=""EBA-1910-10-31""><dateline><placeName ref=""#Paris"">Paris</placeName> – <date when=""1910-10-31"">Oct. 31.</date><name ref=""#Hotel_Westminster"" type=""hotel"">Westminster Hotel</name>.</dateline><p>We made <placeName ref=""#Plymouth"">Plymouth</placeName> at 7 o'clock this morning– I got up and looked out at the interesting coast – reached<placeName ref=""#Cherbourg"">Cherbourg</placeName> at 1 p.m. and were off at3. We felt some little trepidation at committing ourselves to a French railway– there has been such a history of accidents in <placeName ref=""#France"">France</placeName>! But we knew that this line had been thoroughly repaired– as was shown by the piles of the old sleepers all along the road –in the most astounding state of decay – utter rottenness – they gavedamning evidence of neglect. I had never seen the <placeName ref=""#Brittany"">Brittany</placeName> country before. How charming those wide reachingfields were, in the late afternoon light – so softly green – and thecharacteristic, mostly <pb n=""73""/>pollarded trees in their tints of bronze andolive green and russet pink, made a picture, or rather a succession of them thatlooked as if they might have been painted by <persName ref=""#Troyon_Constant"">Troyon</persName> or <persName ref=""#Corot_Jean_Baptiste_Camille"">Corot</persName>. It was a blissful afternoon – and we so enjoyed it.Arrived in <placeName ref=""#Paris"">Paris</placeName> at 10 – and found<persName ref=""#Rathbone_William_Gair"">Mr. Rathbone</persName> waiting for us. Theyare at the <name ref=""#Hotel_Bedford"" type=""hotel"">Bedford</name>.</p></div>",12.0
17,4,1910-11-01,#Rathbone_William_Gair,Mr. and Mrs. Rathbone,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
17,4,1910-11-01,#Rathbone_Blanche,Mr. and Mrs. Rathbone,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
17,4,1910-11-01,#Rathbone_Elena,Elèna,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
17,4,1910-11-01,#Parsons_John,Mr. and Mrs. John E. Parsons,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
17,4,1910-11-01,#Parsons_Florence_Van_Corltandt,Mr. and Mrs. John E. Parsons,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
