Date,Name,Relation,Entry,XML,Entry_Sentiment
1910-10-25,None,None,None,None,None
1910-10-30,None,None,None,None,None
1910-10-31,#Troyon_Constant,,"Paris – Oct. 31. Westminster Hotel. We made Plymouth at 7 o'clock this morning – I got up and looked out at the interesting coast – reached Cherbourg at 1 p.m. and were off at 3. We felt some little trepidation at committing ourselves to a French railway – there has been such a history of accidents in France! But we knew that this line had been thoroughly repaired – as was shown by the piles of the old sleepers all along the road – in the most astounding state of decay – utter rottenness – they gave damning evidence of neglect. I had never seen the Brittany country before. How charming those wide reaching fields were, in the late afternoon light – so softly green – and the characteristic, mostly pollarded trees in their tints of bronze and olive green and russet pink, made a picture, or rather a succession of them that looked as if they might have been painted by Troyon or Corot. It was a blissful afternoon – and we so enjoyed it. Arrived in Paris at 10 – and found Mr. Rathbone waiting for us. They are at the Bedford.","<div type=""entry"" xml:id=""EBA-1910-10-31""><dateline><placeName ref=""#Paris"">Paris</placeName> – <date when=""1910-10-31"">Oct. 31.</date><name ref=""#Hotel_Westminster"" type=""hotel"">Westminster Hotel</name>.</dateline><p>We made <placeName ref=""#Plymouth"">Plymouth</placeName> at 7 o'clock this morning– I got up and looked out at the interesting coast – reached<placeName ref=""#Cherbourg"">Cherbourg</placeName> at 1 p.m. and were off at3. We felt some little trepidation at committing ourselves to a French railway– there has been such a history of accidents in <placeName ref=""#France"">France</placeName>! But we knew that this line had been thoroughly repaired– as was shown by the piles of the old sleepers all along the road –in the most astounding state of decay – utter rottenness – they gavedamning evidence of neglect. I had never seen the <placeName ref=""#Brittany"">Brittany</placeName> country before. How charming those wide reachingfields were, in the late afternoon light – so softly green – and thecharacteristic, mostly <pb n=""73""/>pollarded trees in their tints of bronze andolive green and russet pink, made a picture, or rather a succession of them thatlooked as if they might have been painted by <persName ref=""#Troyon_Constant"">Troyon</persName> or <persName ref=""#Corot_Jean_Baptiste_Camille"">Corot</persName>. It was a blissful afternoon – and we so enjoyed it.Arrived in <placeName ref=""#Paris"">Paris</placeName> at 10 – and found<persName ref=""#Rathbone_William_Gair"">Mr. Rathbone</persName> waiting for us. Theyare at the <name ref=""#Hotel_Bedford"" type=""hotel"">Bedford</name>.</p></div>",12.0
1910-10-31,#Corot_Jean_Baptiste_Camille,,"Paris – Oct. 31. Westminster Hotel. We made Plymouth at 7 o'clock this morning – I got up and looked out at the interesting coast – reached Cherbourg at 1 p.m. and were off at 3. We felt some little trepidation at committing ourselves to a French railway – there has been such a history of accidents in France! But we knew that this line had been thoroughly repaired – as was shown by the piles of the old sleepers all along the road – in the most astounding state of decay – utter rottenness – they gave damning evidence of neglect. I had never seen the Brittany country before. How charming those wide reaching fields were, in the late afternoon light – so softly green – and the characteristic, mostly pollarded trees in their tints of bronze and olive green and russet pink, made a picture, or rather a succession of them that looked as if they might have been painted by Troyon or Corot. It was a blissful afternoon – and we so enjoyed it. Arrived in Paris at 10 – and found Mr. Rathbone waiting for us. They are at the Bedford.","<div type=""entry"" xml:id=""EBA-1910-10-31""><dateline><placeName ref=""#Paris"">Paris</placeName> – <date when=""1910-10-31"">Oct. 31.</date><name ref=""#Hotel_Westminster"" type=""hotel"">Westminster Hotel</name>.</dateline><p>We made <placeName ref=""#Plymouth"">Plymouth</placeName> at 7 o'clock this morning– I got up and looked out at the interesting coast – reached<placeName ref=""#Cherbourg"">Cherbourg</placeName> at 1 p.m. and were off at3. We felt some little trepidation at committing ourselves to a French railway– there has been such a history of accidents in <placeName ref=""#France"">France</placeName>! But we knew that this line had been thoroughly repaired– as was shown by the piles of the old sleepers all along the road –in the most astounding state of decay – utter rottenness – they gavedamning evidence of neglect. I had never seen the <placeName ref=""#Brittany"">Brittany</placeName> country before. How charming those wide reachingfields were, in the late afternoon light – so softly green – and thecharacteristic, mostly <pb n=""73""/>pollarded trees in their tints of bronze andolive green and russet pink, made a picture, or rather a succession of them thatlooked as if they might have been painted by <persName ref=""#Troyon_Constant"">Troyon</persName> or <persName ref=""#Corot_Jean_Baptiste_Camille"">Corot</persName>. It was a blissful afternoon – and we so enjoyed it.Arrived in <placeName ref=""#Paris"">Paris</placeName> at 10 – and found<persName ref=""#Rathbone_William_Gair"">Mr. Rathbone</persName> waiting for us. Theyare at the <name ref=""#Hotel_Bedford"" type=""hotel"">Bedford</name>.</p></div>",12.0
1910-10-31,#Rathbone_William_Gair,,"Paris – Oct. 31. Westminster Hotel. We made Plymouth at 7 o'clock this morning – I got up and looked out at the interesting coast – reached Cherbourg at 1 p.m. and were off at 3. We felt some little trepidation at committing ourselves to a French railway – there has been such a history of accidents in France! But we knew that this line had been thoroughly repaired – as was shown by the piles of the old sleepers all along the road – in the most astounding state of decay – utter rottenness – they gave damning evidence of neglect. I had never seen the Brittany country before. How charming those wide reaching fields were, in the late afternoon light – so softly green – and the characteristic, mostly pollarded trees in their tints of bronze and olive green and russet pink, made a picture, or rather a succession of them that looked as if they might have been painted by Troyon or Corot. It was a blissful afternoon – and we so enjoyed it. Arrived in Paris at 10 – and found Mr. Rathbone waiting for us. They are at the Bedford.","<div type=""entry"" xml:id=""EBA-1910-10-31""><dateline><placeName ref=""#Paris"">Paris</placeName> – <date when=""1910-10-31"">Oct. 31.</date><name ref=""#Hotel_Westminster"" type=""hotel"">Westminster Hotel</name>.</dateline><p>We made <placeName ref=""#Plymouth"">Plymouth</placeName> at 7 o'clock this morning– I got up and looked out at the interesting coast – reached<placeName ref=""#Cherbourg"">Cherbourg</placeName> at 1 p.m. and were off at3. We felt some little trepidation at committing ourselves to a French railway– there has been such a history of accidents in <placeName ref=""#France"">France</placeName>! But we knew that this line had been thoroughly repaired– as was shown by the piles of the old sleepers all along the road –in the most astounding state of decay – utter rottenness – they gavedamning evidence of neglect. I had never seen the <placeName ref=""#Brittany"">Brittany</placeName> country before. How charming those wide reachingfields were, in the late afternoon light – so softly green – and thecharacteristic, mostly <pb n=""73""/>pollarded trees in their tints of bronze andolive green and russet pink, made a picture, or rather a succession of them thatlooked as if they might have been painted by <persName ref=""#Troyon_Constant"">Troyon</persName> or <persName ref=""#Corot_Jean_Baptiste_Camille"">Corot</persName>. It was a blissful afternoon – and we so enjoyed it.Arrived in <placeName ref=""#Paris"">Paris</placeName> at 10 – and found<persName ref=""#Rathbone_William_Gair"">Mr. Rathbone</persName> waiting for us. Theyare at the <name ref=""#Hotel_Bedford"" type=""hotel"">Bedford</name>.</p></div>",12.0
1910-11-01,#Rathbone_William_Gair,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
1910-11-01,#Rathbone_Blanche,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
1910-11-01,#Rathbone_Elena,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
1910-11-01,#Parsons_John,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
1910-11-01,#Parsons_Florence_Van_Corltandt,,"Tuesday. Nov. 1st. It has poured with rain all day – have not been out of the house. It is All Saints Day, and every magasin and museum is closed. Mr. and Mrs. Rathbone and Elèna came to lunch, and are to turn up at the Gare de Lyon at 10. Mr. and Mrs. John E. Parsons are in this hotel, and we went to their rooms to have tea with them. We quite enjoyed our little dinner up in our sitting room. Hotels are crowded here – the manager told us there were more than 200 people in Paris waiting for a chance to cross the Mediterranean.","<div type=""entry"" xml:id=""EBA-1910-11-01""><dateline><date when=""1910-11-01"">Tuesday. Nov. 1st.</date></dateline><p>It has poured with rain all day – have not been out of the house. It is<date when=""1910-11-01"">All Saints Day</date>, and every magasin and museumis closed. <persName ref=""#Rathbone_William_Gair #Rathbone_Blanche"">Mr. and Mrs.Rathbone</persName> and <persName ref=""#Rathbone_Elena"">Elèna</persName> came to lunch, and are to turn up at the <placeName ref=""#Gare_de_Lyon"">Gare de Lyon</placeName> at 10. <persName ref=""#Parsons_John #Parsons_Florence_Van_Corltandt"">Mr. and Mrs. John E.Parsons</persName> are in this hotel, and we went to their rooms to have teawith them. We quite enjoyed our little dinner up in our sitting room. Hotels arecrowded here – the manager told us there were more than 200 people in<placeName ref=""#Paris"">Paris</placeName> waiting for a chance to cross the<placeName ref=""#Mediterranean_Sea"">Mediterranean</placeName>.</p></div>",4.0
